shipment_id,customer_id,shipper_id,service_id,weight_kg,shipment_date,delivery_date,status,shipment_cost
88,667,2,STD,100.53,2025-10-28,2025-11-22,Pending,239.84
89,1954,1,STD,87.29,2025-09-29,2025-10-14,Pending,222.66
90,572,2,EXP,84.62,2025-09-06,2025-09-13,Delayed,387.96
91,320,3,PRI,98.81,2024-10-31,2024-11-15,Delayed,989.95
92,23,2,EXP,159.27,2025-06-26,2025-06-29,Delayed,836.48
93,1743,2,STD,14.14,2025-08-14,2025-08-22,Delayed,35.09
94,234,3,STD,170.81,2025-04-14,2025-05-09,Delayed,388.51
95,1506,2,STD,142.11,2025-03-19,2025-04-11,Cancelled,364.32
96,424,1,STD,159.42,2025-08-08,2025-08-13,Cancelled,362.87
97,777,2,PRI,115.54,2025-10-28,2025-11-21,In Transit,1200.34
98,889,3,STD,25.39,2024-12-15,2025-01-02,In Transit,67.49
99,1579,3,PRI,139.4,2025-04-22,2025-04-28,Delivered,1294.72
100,259,3,PRI,165.36,2025-03-02,2025-03-26,Delivered,1630.39
101,764,1,STD,87.92,2025-04-09,2025-05-06,Delivered,205.04
102,439,3,STD,100.32,2025-07-29,2025-08-07,Cancelled,244.22
103,378,2,STD,63.22,2025-06-19,2025-07-04,Pending,166.74
104,481,3,PRI,57.59,2024-12-05,2024-12-21,Pending,519.37
105,525,3,EXP,107.98,2025-09-18,2025-10-13,Delivered,565.46
106,724,1,PRI,176.98,2025-04-09,2025-04-21,Pending,1640.46
107,923,3,STD,112.69,2024-11-04,2024-11-19,Cancelled,271.56
108,1047,1,PRI,167.99,2025-07-06,2025-07-18,Delivered,1780.85
109,315,2,PRI,74.23,2025-02-04,2025-02-22,Pending,797.27
110,1438,1,STD,119.99,2025-04-12,2025-04-25,Cancelled,280.35
111,1633,3,PRI,111.47,2024-11-05,2024-12-02,Delayed,1014.44
112,177,3,PRI,55.4,2025-09-28,2025-10-11,Delayed,498.85
113,1284,3,STD,14.26,2025-09-28,2025-10-03,Cancelled,38.98
114,1529,2,STD,77.73,2025-02-19,2025-02-23,Cancelled,184.23
115,1091,1,EXP,107.58,2025-03-06,2025-03-08,Delivered,496.12
116,1403,2,STD,114.26,2025-08-11,2025-09-06,Delayed,272.58
117,795,3,STD,128.47,2025-07-14,2025-08-08,Delivered,324.8
118,1616,1,STD,194.9,2025-06-28,2025-07-16,Delivered,506.21
119,888,3,EXP,26.7,2025-04-25,2025-05-01,In Transit,120.54
120,429,2,STD,100.09,2025-07-03,2025-07-30,Delivered,233.64
121,987,1,STD,156.84,2025-01-21,2025-02-17,Pending,428.71
122,276,1,PRI,148.59,2025-10-21,2025-11-05,In Transit,1597.41
123,127,1,STD,16.5,2025-06-25,2025-07-21,Delivered,43.47
124,401,3,STD,113.87,2025-06-16,2025-06-18,Delayed,297.21
125,217,2,STD,53.02,2025-01-03,2025-01-27,Pending,136.82
126,690,1,STD,151.31,2024-12-20,2025-01-09,Delayed,340.95
127,522,2,PRI,71.58,2025-08-02,2025-08-08,Delayed,679.98
128,1431,3,EXP,52.34,2024-12-20,2025-01-13,Pending,266.59
129,880,2,PRI,15.34,2025-03-04,2025-04-01,Pending,143.51
130,771,1,PRI,76.96,2024-11-24,2024-12-18,In Transit,751.58
131,1805,3,EXP,109.66,2025-04-30,2025-05-23,Cancelled,555.17
132,484,2,EXP,103.57,2025-07-08,2025-07-26,Delayed,474.43
133,1591,1,STD,159.89,2025-01-03,2025-01-08,Delivered,435.49
134,1969,3,EXP,35.64,2025-09-13,2025-09-20,Delivered,172.93
135,1856,3,STD,176.99,2025-05-11,2025-06-07,Delayed,483.9
136,685,2,PRI,115.28,2025-01-23,2025-02-04,Delayed,1215.8
137,190,2,PRI,72.09,2025-01-18,2025-01-21,Cancelled,649.13
138,1897,3,STD,82.96,2025-03-28,2025-04-22,Delivered,192.89
139,1277,2,STD,22.37,2025-04-26,2025-05-04,Cancelled,60.58
140,135,1,EXP,94.77,2024-11-20,2024-12-17,In Transit,483.87
141,838,2,STD,197.4,2025-02-18,2025-03-10,Delayed,459.5
142,1400,2,PRI,13.48,2025-09-27,2025-10-05,Delayed,136.3
143,1744,2,PRI,126.57,2025-06-17,2025-06-25,Pending,1166.28
144,229,2,PRI,138.32,2025-05-19,2025-05-26,Delayed,1266.98
145,1244,3,STD,162.31,2024-12-11,2024-12-18,In Transit,413.16
146,1092,2,PRI,86.94,2024-11-25,2024-11-30,In Transit,844.1
147,896,1,STD,106.66,2025-02-16,2025-02-18,Delivered,258.25
148,1930,1,EXP,130.79,2024-12-01,2024-12-08,Delayed,629.15
149,706,3,EXP,194.06,2025-02-14,2025-03-12,Cancelled,974.31
150,1080,2,STD,107.59,2025-03-04,2025-04-01,Pending,246.73
151,1792,2,EXP,160.45,2025-10-05,2025-10-28,In Transit,792.66
152,1051,3,STD,61.77,2025-08-08,2025-08-25,Pending,141.95
153,903,1,EXP,180.23,2025-02-05,2025-02-27,Pending,864.62
154,240,1,STD,18.44,2025-03-04,2025-03-19,Cancelled,43.44
155,1569,2,EXP,153.41,2025-03-21,2025-04-18,Cancelled,765.89
156,602,2,STD,74.84,2024-12-25,2025-01-15,Delivered,201.01
157,765,3,STD,198.9,2024-11-20,2024-12-19,Cancelled,459.13
158,140,1,EXP,165.21,2025-08-16,2025-09-07,Delayed,801.16
159,493,1,EXP,58.74,2024-11-19,2024-12-09,Pending,294.17
160,566,2,STD,8.1,2025-05-06,2025-05-09,Delivered,21.07
161,234,3,PRI,158.25,2025-05-25,2025-06-18,Delayed,1490.15
162,214,1,STD,164.18,2024-11-19,2024-12-09,Delivered,392.45
163,383,1,STD,20.15,2024-11-09,2024-12-01,In Transit,52.28
164,47,1,STD,189.82,2025-04-18,2025-04-25,Cancelled,453.03
165,1126,2,EXP,123.26,2025-07-03,2025-07-24,Pending,599.33
166,917,2,STD,189.44,2025-04-12,2025-04-20,Delivered,513.7
167,1675,3,PRI,128.52,2025-10-24,2025-10-31,Cancelled,1229.12
168,1193,3,PRI,49.38,2025-01-19,2025-01-25,Cancelled,517.87
169,1809,2,STD,127.17,2025-01-31,2025-02-23,Pending,310.23
170,925,2,EXP,64.37,2025-03-07,2025-03-14,Pending,334.3
171,963,3,STD,72.97,2025-06-12,2025-07-09,Delayed,171.13
172,850,1,PRI,83.22,2025-08-01,2025-08-24,Delayed,832.2
173,1556,1,STD,149.58,2025-01-24,2025-02-12,Pending,364.99
174,1246,1,EXP,136.81,2024-11-14,2024-12-10,Pending,704.65
175,1406,3,STD,6.88,2025-03-25,2025-04-10,Cancelled,17.69
176,1145,2,STD,48.26,2025-09-12,2025-09-28,In Transit,129.16
177,640,3,STD,179.9,2025-07-08,2025-07-31,Delayed,424.09
178,1009,2,PRI,80.04,2025-08-20,2025-09-17,Delivered,763.05
179,1598,2,STD,171.67,2025-07-18,2025-08-04,Pending,456.1
180,1021,1,EXP,25.2,2025-06-17,2025-07-10,Delayed,113.46
181,1257,2,EXP,136.43,2025-07-10,2025-07-25,Cancelled,633.93
182,600,2,PRI,106.88,2025-09-09,2025-09-29,Delayed,1131.15
183,64,1,STD,51.5,2025-01-28,2025-02-13,Delivered,127.34
184,1294,3,STD,108.33,2025-04-22,2025-04-24,Pending,257.15
185,1235,3,STD,95.38,2025-04-12,2025-04-26,Pending,235.97
186,351,1,EXP,35.22,2025-06-19,2025-06-23,Delayed,188.21
187,1752,1,PRI,171.67,2025-04-02,2025-04-22,Pending,1649.87
188,1600,3,EXP,105.93,2024-12-09,2024-12-28,Pending,536.79
189,96,3,STD,119.99,2025-04-24,2025-05-04,Delayed,321.05
190,1156,3,STD,49.35,2025-06-20,2025-06-22,Delayed,132.98
191,1765,1,EXP,147.8,2024-12-16,2024-12-30,Pending,716.55
192,1503,2,STD,145.32,2025-09-28,2025-10-14,Pending,327.87
193,1372,1,EXP,123.69,2025-03-28,2025-03-31,In Transit,600.94
194,508,2,PRI,129.21,2025-08-18,2025-09-15,In Transit,1268.14
195,232,1,STD,185.4,2025-02-15,2025-02-21,Pending,443.66
196,315,3,STD,134.2,2025-10-13,2025-11-10,Pending,342.12
197,1791,3,PRI,55.24,2025-05-25,2025-06-23,Delayed,574.06
198,649,1,EXP,27.57,2025-04-08,2025-04-11,Delayed,148.79
199,1070,3,PRI,123.15,2025-02-06,2025-03-07,Cancelled,1258.01
200,154,2,EXP,72.5,2025-05-05,2025-05-23,In Transit,331.53
201,485,3,STD,92.34,2025-05-02,2025-05-30,Delayed,235.46
202,1862,3,PRI,2.67,2025-01-19,2025-02-02,Delivered,24.77
203,138,3,STD,87.06,2024-12-15,2025-01-10,Delayed,203.9
204,896,2,EXP,40.54,2025-07-26,2025-08-02,In Transit,209.46
205,1837,3,PRI,167.12,2024-12-04,2024-12-23,In Transit,1727.17
206,1068,2,EXP,144.92,2024-12-29,2025-01-14,Delivered,673.64
207,1707,1,STD,22.89,2025-03-06,2025-03-21,Delayed,57.69
208,1426,3,EXP,150.28,2024-11-01,2024-11-16,Pending,729.0
209,1473,3,EXP,67.5,2025-06-01,2025-06-30,Delivered,365.55
210,1541,1,PRI,106.28,2024-12-17,2025-01-05,Delayed,1162.14
211,675,2,PRI,95.4,2025-10-28,2025-11-19,Cancelled,1010.0
212,555,3,EXP,122.33,2025-04-24,2025-04-26,Pending,569.73
213,405,3,PRI,180.67,2025-08-27,2025-09-02,Delivered,1685.1
214,160,1,PRI,171.05,2025-09-15,2025-10-01,Delayed,1819.9
215,506,1,PRI,129.13,2025-01-19,2025-01-30,Pending,1321.12
216,768,3,STD,135.45,2025-09-12,2025-09-13,In Transit,327.48
217,1747,2,STD,179.22,2025-06-25,2025-06-26,Delayed,452.18
218,701,3,PRI,9.11,2025-05-26,2025-06-08,In Transit,94.54
219,1618,2,PRI,146.27,2024-12-19,2025-01-17,Cancelled,1557.09
220,956,1,EXP,18.19,2025-10-18,2025-10-30,Cancelled,99.71
221,918,1,PRI,117.86,2025-08-10,2025-08-21,Cancelled,1086.43
222,1525,2,STD,160.86,2024-11-21,2024-11-22,Cancelled,433.16
223,531,1,STD,14.33,2025-08-06,2025-08-17,Delivered,36.62
224,165,1,STD,119.55,2025-10-08,2025-11-03,Cancelled,282.14
225,1308,2,EXP,153.49,2025-06-09,2025-06-22,Delivered,708.19
226,1324,2,PRI,97.58,2025-02-05,2025-02-11,In Transit,976.94
227,7,2,PRI,79.79,2025-07-12,2025-07-28,In Transit,855.5
228,399,3,STD,151.44,2024-12-01,2024-12-16,Delivered,358.59
229,1006,3,STD,66.58,2025-09-22,2025-09-23,Pending,157.58
230,1733,2,STD,57.99,2025-07-02,2025-07-15,In Transit,154.22
231,1784,1,PRI,82.54,2025-08-03,2025-08-29,Delayed,895.52
232,1739,1,EXP,18.47,2025-06-16,2025-07-16,In Transit,87.96
233,1511,2,PRI,181.32,2025-08-10,2025-09-04,Delayed,1965.89
234,1413,3,STD,101.21,2025-09-28,2025-10-22,Pending,246.6
235,1590,1,STD,72.58,2025-08-11,2025-09-10,In Transit,176.92
236,1245,3,STD,112.14,2025-04-19,2025-04-24,Delivered,283.98
237,377,1,STD,34.71,2025-02-24,2025-03-11,In Transit,82.09
238,1999,2,EXP,110.35,2025-05-07,2025-05-20,In Transit,603.8
239,826,1,STD,65.14,2024-12-10,2024-12-31,Delayed,169.15
240,1625,1,PRI,10.02,2025-08-27,2025-09-20,Delayed,106.32
241,1784,3,EXP,186.2,2025-02-24,2025-03-04,Pending,911.03
242,313,3,STD,79.34,2025-05-14,2025-06-06,Pending,194.73
243,1999,2,PRI,99.58,2024-11-01,2024-11-22,Delayed,1088.69
244,1914,3,EXP,169.98,2024-11-27,2024-12-15,Cancelled,798.98
245,1558,2,EXP,39.87,2025-07-31,2025-08-11,Delayed,188.32
246,1729,3,EXP,20.47,2025-08-05,2025-09-01,Delayed,92.63
247,374,2,PRI,163.78,2025-06-16,2025-07-07,Cancelled,1757.11
248,438,3,STD,40.61,2025-02-07,2025-02-16,Delayed,99.34
249,1292,1,EXP,39.86,2025-01-23,2025-02-16,Pending,217.46
250,378,3,PRI,149.26,2025-06-13,2025-07-01,Delayed,1465.17
251,88,2,EXP,161.92,2025-05-14,2025-06-04,Delayed,740.48
252,444,2,PRI,62.8,2024-11-17,2024-11-23,Delayed,565.69
253,1297,3,PRI,45.75,2025-05-24,2025-06-04,Delivered,463.89
254,1502,2,PRI,182.12,2025-03-09,2025-03-23,In Transit,1833.08
255,1131,2,PRI,2.74,2025-08-19,2025-09-08,Pending,29.26
256,1889,1,EXP,196.42,2025-08-02,2025-08-21,Delayed,899.52
257,125,1,PRI,95.92,2025-02-20,2025-03-15,In Transit,982.71
258,889,2,PRI,124.75,2024-11-06,2024-11-29,Delivered,1180.5
259,348,1,EXP,140.77,2025-09-13,2025-10-05,Cancelled,650.62
260,1125,2,EXP,24.63,2025-03-24,2025-03-27,In Transit,119.66
261,1325,3,STD,50.18,2025-03-09,2025-03-11,Cancelled,117.92
262,1428,1,PRI,4.08,2024-11-16,2024-12-16,Pending,41.22
263,1354,3,EXP,56.58,2025-08-02,2025-08-21,In Transit,269.84
264,1829,1,STD,139.93,2025-01-14,2025-01-25,In Transit,376.4
265,1778,1,STD,77.44,2025-03-07,2025-03-22,Cancelled,174.36
266,1196,2,PRI,165.11,2025-09-26,2025-10-08,Pending,1774.35
267,1976,1,STD,156.83,2024-12-13,2024-12-23,Pending,382.4
268,1441,2,EXP,2.28,2024-12-18,2024-12-27,In Transit,11.28
269,48,3,EXP,42.06,2025-03-16,2025-04-02,Pending,225.84
270,1559,3,EXP,8.44,2025-06-26,2025-07-22,Pending,45.74
271,1431,3,STD,176.49,2025-04-19,2025-04-25,Delivered,454.29
272,1394,1,STD,96.21,2025-10-09,2025-10-28,Delayed,253.52
273,661,3,STD,186.65,2025-05-22,2025-06-18,Cancelled,470.18
274,1918,2,STD,105.67,2024-11-08,2024-12-06,In Transit,284.33
275,316,1,PRI,186.67,2025-07-04,2025-08-01,Delayed,1820.68
276,1260,3,STD,69.44,2024-12-08,2025-01-03,Delivered,190.56
277,1526,3,PRI,87.14,2025-01-27,2025-02-23,Delayed,884.06
278,175,2,STD,186.24,2025-09-28,2025-09-30,Cancelled,485.19
279,1877,1,EXP,191.98,2025-04-03,2025-04-14,In Transit,910.72
280,1935,2,PRI,160.95,2025-06-11,2025-07-11,Pending,1723.31
281,138,3,STD,19.49,2025-10-13,2025-10-27,Cancelled,50.45
282,556,3,EXP,96.21,2025-04-13,2025-05-06,Cancelled,528.79
283,1084,2,STD,178.51,2025-01-06,2025-01-25,In Transit,448.85
284,1215,1,EXP,66.15,2025-06-30,2025-07-17,Delayed,307.55
285,1949,1,EXP,105.27,2024-12-06,2024-12-18,Cancelled,509.95
286,250,3,STD,182.28,2025-04-11,2025-04-14,In Transit,449.62
287,898,1,EXP,124.93,2025-01-21,2025-01-30,Delivered,605.19
288,1790,1,PRI,10.99,2025-06-06,2025-06-30,Delayed,99.83
289,161,2,PRI,122.46,2025-03-31,2025-04-12,Delayed,1114.65
290,12,2,STD,114.61,2025-02-22,2025-03-22,Cancelled,298.84
291,766,1,PRI,187.25,2025-01-15,2025-01-31,Cancelled,1897.64
292,934,2,STD,135.01,2025-01-02,2025-01-16,Delayed,324.08
293,1303,3,STD,96.72,2025-10-28,2025-11-04,Delivered,229.06
294,1757,1,EXP,124.34,2025-08-23,2025-08-24,Pending,633.18
295,1538,2,STD,18.04,2024-12-07,2024-12-10,In Transit,43.34
296,220,3,EXP,174.79,2025-03-22,2025-04-06,Delayed,842.77
297,1344,2,EXP,43.44,2025-05-24,2025-05-29,Pending,220.48
298,1579,3,STD,52.74,2025-06-15,2025-07-08,Delayed,141.34
299,644,1,PRI,176.24,2025-04-15,2025-05-02,Cancelled,1907.41
300,513,2,PRI,161.41,2025-04-10,2025-04-15,Cancelled,1492.87
301,482,2,EXP,58.46,2025-10-31,2025-11-24,Cancelled,314.49
302,1596,2,STD,164.51,2025-09-07,2025-09-29,Cancelled,433.6
303,1871,1,STD,88.03,2025-08-02,2025-08-18,Delayed,225.29
304,1222,3,PRI,15.42,2025-07-24,2025-07-30,Pending,154.48
305,1899,1,EXP,115.96,2025-08-28,2025-09-27,Cancelled,624.01
306,521,1,PRI,172.15,2024-12-22,2025-01-02,Delivered,1726.05
307,1827,3,STD,84.99,2025-05-24,2025-06-17,In Transit,212.34
308,1119,2,EXP,189.99,2025-10-13,2025-11-07,In Transit,992.6
309,991,1,EXP,86.34,2025-07-05,2025-07-26,In Transit,421.78
310,75,3,STD,64.23,2025-06-23,2025-07-03,Pending,176.16
311,549,1,STD,43.57,2025-03-16,2025-04-15,In Transit,100.94
312,792,2,PRI,92.62,2025-03-23,2025-04-01,Cancelled,850.79
313,457,3,EXP,156.15,2025-07-12,2025-08-09,Delivered,722.21
314,1433,3,PRI,5.95,2025-10-11,2025-10-29,Delayed,57.06
315,1125,3,EXP,182.08,2024-11-14,2024-11-17,Pending,912.9
316,677,1,PRI,134.22,2024-11-25,2024-12-11,Delayed,1407.5
317,1886,1,PRI,127.99,2024-11-11,2024-12-02,Delayed,1229.27
318,947,3,STD,146.5,2025-09-15,2025-10-11,In Transit,398.56
319,324,1,EXP,191.32,2025-10-28,2025-11-16,Pending,901.86
320,652,1,STD,60.55,2025-06-21,2025-07-20,Delayed,147.64
321,725,1,EXP,178.69,2025-05-27,2025-05-29,Delayed,890.37
322,1319,1,PRI,54.68,2025-08-13,2025-08-22,Pending,522.16
323,1215,2,EXP,28.29,2025-08-21,2025-08-23,In Transit,128.53
324,1694,1,PRI,111.48,2025-02-25,2025-03-13,Cancelled,1105.61
325,778,1,PRI,134.44,2025-01-16,2025-02-05,Delivered,1353.29
326,235,3,STD,26.45,2025-03-11,2025-03-29,In Transit,67.32
327,275,2,STD,42.72,2025-04-05,2025-04-26,In Transit,99.68
328,1019,2,EXP,33.32,2025-05-22,2025-06-06,Delivered,158.63
329,1944,2,PRI,6.96,2025-07-17,2025-08-08,Delivered,73.42
330,599,2,STD,3.5,2025-05-08,2025-06-02,In Transit,7.92
331,1152,1,EXP,90.55,2025-01-05,2025-01-30,Delivered,439.36
332,1717,1,STD,39.82,2025-07-05,2025-07-18,Delivered,93.06
333,91,2,EXP,140.17,2025-09-07,2025-09-11,Cancelled,751.2
334,1349,2,PRI,12.04,2024-11-01,2024-11-05,Cancelled,116.36
335,291,1,EXP,141.66,2025-10-22,2025-10-26,Delivered,695.71
336,103,2,PRI,47.48,2025-10-26,2025-11-13,Pending,502.65
337,1752,1,PRI,198.29,2025-01-19,2025-02-01,Cancelled,2044.99
338,557,2,PRI,34.73,2025-06-20,2025-07-09,In Transit,345.85
339,390,2,EXP,130.58,2025-10-20,2025-10-28,Cancelled,696.77
340,949,3,EXP,50.71,2025-10-13,2025-11-02,Pending,260.08
341,714,1,PRI,112.61,2025-02-04,2025-03-04,In Transit,1132.44
342,1143,3,PRI,5.74,2025-06-03,2025-06-07,Delayed,55.25
343,1923,2,STD,43.32,2025-08-30,2025-09-01,Delivered,115.17
344,655,2,PRI,95.0,2024-11-06,2024-11-08,Pending,950.66
345,444,3,PRI,109.62,2025-10-04,2025-10-29,Pending,1181.1
346,671,2,STD,127.82,2024-10-31,2024-11-06,Delayed,287.65
347,1225,3,PRI,197.62,2025-01-19,2025-02-16,In Transit,2157.77
348,856,1,STD,14.22,2025-08-10,2025-09-08,Pending,36.27
349,930,2,STD,11.37,2025-09-15,2025-10-03,Delivered,29.3
350,1980,1,EXP,108.33,2024-10-31,2024-11-20,Cancelled,559.98
351,542,2,PRI,111.05,2025-02-13,2025-02-22,Pending,1017.23
352,1058,1,EXP,49.41,2025-07-07,2025-07-10,Cancelled,228.42
353,788,3,EXP,74.33,2025-04-13,2025-05-13,Cancelled,406.82
354,1876,3,STD,110.98,2024-11-29,2024-12-18,Delivered,276.3
355,393,3,PRI,177.19,2025-08-03,2025-08-09,Delivered,1721.94
356,744,3,EXP,133.06,2024-12-02,2024-12-29,Pending,602.28
357,1299,2,STD,66.79,2024-11-09,2024-11-25,Delivered,182.51
358,1695,3,EXP,27.55,2025-01-28,2025-02-19,Delayed,146.69
359,1951,1,EXP,102.82,2025-07-30,2025-08-07,Pending,514.14
360,1423,2,PRI,127.92,2024-11-21,2024-11-28,Pending,1375.9
361,1010,3,STD,43.95,2025-07-03,2025-07-18,Cancelled,110.1
362,651,3,PRI,164.33,2025-09-12,2025-09-14,Cancelled,1590.67
363,1737,2,PRI,174.94,2025-02-08,2025-02-27,Delivered,1687.95
364,1856,3,EXP,98.94,2025-05-30,2025-06-03,Delayed,474.94
365,1764,3,EXP,112.56,2025-10-13,2025-11-05,Pending,561.06
366,118,2,EXP,117.03,2024-12-23,2025-01-21,Pending,607.67
367,433,1,PRI,153.1,2025-05-02,2025-05-12,In Transit,1379.7
368,1438,1,PRI,39.29,2025-10-27,2025-11-13,In Transit,417.66
369,1402,1,STD,37.75,2024-11-26,2024-12-22,Delivered,85.83
370,885,1,STD,108.67,2025-10-14,2025-10-28,In Transit,260.06
371,269,2,EXP,122.15,2024-12-19,2024-12-28,Pending,569.87
372,297,1,PRI,175.46,2025-10-24,2025-11-18,Delayed,1677.37
