order_id,user_id,product_id,quantity,order_date
45,9564,327,4,2025-07-21 00:49:40.832965
46,6041,6208,3,2025-04-01 20:34:51.710183
47,7269,6310,3,2025-01-17 20:28:30.668117
48,1820,1657,4,2025-02-23 14:36:24.527437
49,7222,7136,4,2025-04-08 13:08:44.909245
50,8558,8583,3,2025-05-20 13:13:28.581103
51,3740,6469,3,2025-02-27 11:08:55.560344
52,5092,6029,2,2025-06-17 11:15:33.194905
53,1739,1204,2,2025-06-06 01:11:19.629746
54,4120,3925,1,2025-09-07 11:16:59.645794
55,8238,2781,3,2025-10-17 12:33:41.904347
56,9879,3770,4,2025-03-02 10:29:57.824258
57,7426,2377,4,2025-04-11 19:43:39.841860
58,7405,2599,5,2025-02-05 18:05:50.323426
59,8350,6185,1,2025-08-13 15:59:04.965209
60,5729,1884,5,2025-08-24 05:55:48.560114
61,4273,7676,2,2025-09-21 22:25:57.772516
62,3764,1223,1,2025-03-19 02:28:40.711938
63,2382,8825,2,2025-06-11 06:29:07.886394
64,6071,6830,2,2025-06-07 23:24:37.302251
65,4313,2116,4,2025-01-28 07:03:38.106505
66,6557,8142,3,2025-05-15 14:19:07.913789
67,770,2409,3,2025-06-08 16:59:12.147917
68,2937,3652,5,2025-02-20 04:16:21.940494
69,8032,6563,3,2025-10-19 20:30:59.703537
70,8382,9996,4,2025-02-27 11:20:46.290037
71,3658,9499,3,2025-01-08 18:11:45.108461
72,944,9689,5,2025-04-14 12:47:54.625713
73,8776,1597,4,2025-08-25 07:02:22.802759
74,9046,4249,2,2025-05-04 17:44:23.072774
75,1400,8973,2,2025-04-16 14:28:26.895465
76,4817,7259,2,2025-04-15 10:06:59.981599
77,85,1215,5,2025-05-23 13:24:02.076881
78,318,4531,4,2025-01-04 09:08:04.800536
79,3928,5706,4,2025-02-19 16:36:10.294198
80,6444,2976,1,2025-10-01 08:09:32.676458
81,6713,5044,5,2025-04-15 11:28:53.470198
82,8279,5536,3,2025-09-12 16:27:18.686930
83,1377,6779,4,2025-10-14 02:39:40.403955
84,6064,6590,3,2025-03-09 21:20:56.281138
85,1759,8422,3,2025-08-14 14:52:13.991054
86,7746,4591,2,2025-10-27 01:25:31.366880
87,2962,3903,5,2025-03-15 13:48:36.221068
88,6500,3537,2,2025-06-28 19:52:48.189416
89,7317,5519,1,2025-10-07 01:49:47.335109
90,9455,3188,4,2025-08-19 01:39:15.514328
91,956,4832,1,2025-03-19 10:08:35.593563
92,4787,4261,1,2025-06-15 17:17:31.564718
93,7582,450,4,2025-10-22 07:20:39.302407
94,8915,5100,3,2025-06-11 22:31:19.937883
95,6578,4224,2,2025-01-17 03:40:26.407081
96,6626,3737,2,2025-05-11 11:23:54.204363
97,3507,864,4,2025-10-14 13:34:57.582087
98,7447,4842,5,2025-08-20 23:37:32.860476
99,5061,8093,2,2025-05-19 21:05:44.636854
100,2120,5676,2,2025-10-28 12:33:53.518784
101,1847,4295,2,2025-03-31 07:56:11.225412
102,3184,9309,1,2025-10-24 02:05:09.897300
103,8686,2017,1,2025-04-04 18:52:18.905321
104,3771,4022,3,2025-10-06 01:39:07.870182
105,9777,4723,5,2025-04-05 01:34:58.979788
106,8369,2747,5,2025-07-13 19:52:01.548151
107,4272,9615,1,2025-10-22 20:31:51.504955
108,2122,8008,5,2025-01-11 20:05:19.857375
109,11,6357,5,2025-01-20 17:46:50.684823
110,2361,8052,3,2025-09-17 13:18:40.457693
111,7678,8851,5,2025-01-01 03:15:33.931853
112,782,8469,4,2025-03-01 11:56:36.723714
113,7554,511,2,2025-03-15 08:22:37.128406
114,830,868,5,2025-08-16 05:08:30.754990
115,5278,6020,3,2025-03-19 03:26:56.562632
116,8615,332,2,2025-03-04 04:43:50.641613
117,6212,4117,1,2025-02-07 11:33:45.204503
118,151,7664,1,2025-10-31 04:01:59.719406
119,8173,5950,1,2025-04-06 16:05:47.314001
120,3069,142,4,2025-07-29 13:35:03.111590
121,8009,4110,4,2025-08-21 17:06:45.912053
122,1589,1115,3,2025-07-12 08:18:45.481203
123,6892,4160,2,2025-07-18 15:39:45.460076
124,890,7123,3,2025-01-10 14:09:07.334250
125,6707,7140,2,2025-04-01 22:47:58.480220
126,8896,1055,2,2025-01-15 17:33:12.536528
127,6861,4364,5,2025-04-08 09:07:29.727184
128,1588,7507,4,2025-03-07 11:19:50.808772
129,8485,1800,4,2025-01-31 18:21:26.293634
130,1246,5163,5,2025-08-04 00:51:33.617521
131,7941,3511,3,2025-06-05 22:33:32.710770
132,5900,6558,4,2025-06-22 07:18:27.357298
133,7635,1544,4,2025-08-20 18:46:20.541590
134,6459,7829,1,2025-10-08 08:33:13.058534
135,4718,9373,5,2025-08-06 06:58:32.025128
136,8323,5104,5,2025-10-10 11:54:13.961961
137,597,8374,4,2025-08-29 22:36:01.994786
138,1553,5624,3,2025-08-29 23:05:01.390883
139,7572,5370,3,2025-06-29 20:10:21.099120
140,4844,1446,1,2025-04-22 00:11:33.868901
141,3399,6994,5,2025-05-07 00:31:49.704506
142,2267,97,4,2025-07-05 10:43:40.433533
143,6107,2680,5,2025-01-08 04:04:47.567464
144,9672,5291,5,2025-05-12 23:57:12.542995
145,3480,1243,2,2025-08-30 07:37:56.767291
146,1445,1721,4,2025-09-02 18:35:34.033648
147,6605,8437,3,2025-03-13 03:44:55.715501
148,6444,9331,3,2025-05-11 07:53:50.756738
149,2189,9482,4,2025-10-31 06:12:30.729581
150,3943,8014,3,2025-01-29 22:57:13.351450
151,5010,5744,2,2025-08-20 14:25:15.218670
152,4392,1852,3,2025-01-09 23:53:29.424294
153,6970,2434,1,2025-07-15 18:34:27.402415
154,5555,2481,4,2025-10-18 00:17:20.077553
155,9710,3042,3,2025-09-14 12:00:42.763781
156,3614,2614,5,2025-02-24 09:56:50.268064
157,9731,8433,4,2025-04-21 04:51:19.639534
158,283,3842,3,2025-06-25 16:06:47.506737
159,2548,8973,2,2025-02-09 06:09:43.227711
160,6355,410,2,2025-03-16 13:23:11.858185
161,9118,5465,2,2025-03-08 11:26:54.114621
162,6902,1648,5,2025-01-29 06:32:22.628899
163,1344,5505,4,2025-05-12 05:33:56.465741
164,9189,5703,2,2025-10-17 09:56:42.083497
165,5429,5800,1,2025-09-02 05:08:09.940305
166,677,6545,3,2025-05-15 05:26:27.096828
167,4603,7649,4,2025-07-10 05:26:41.844144
168,9635,4221,5,2025-07-18 12:04:33.103632
169,5555,255,5,2025-08-05 04:47:35.173540
170,1038,4773,1,2025-04-16 06:32:58.430876
171,6291,7673,5,2025-02-15 22:54:08.399437
172,9118,7303,1,2025-05-24 06:48:23.278857
173,8822,1738,3,2025-04-11 09:56:03.555863
174,7602,2627,4,2025-06-15 17:39:35.843441
175,9010,2922,4,2025-09-23 05:34:07.012880
176,6756,8869,2,2025-04-06 18:27:42.035253
177,6133,2302,5,2025-07-11 20:31:30.399817
178,9257,7667,5,2025-06-11 00:37:15.475513
179,5361,6497,2,2025-08-04 14:49:53.948402
180,3050,2485,5,2025-05-18 13:51:07.250643
181,9105,7719,3,2025-08-12 17:57:50.662621
182,4754,5847,4,2025-02-04 01:30:14.461695
183,241,8620,3,2025-08-12 20:50:49.518364
184,8356,299,5,2025-07-10 16:08:38.008194
185,2068,1076,1,2025-05-07 19:29:30.297292
186,6410,9286,3,2025-09-14 17:44:03.999804
187,9312,3088,2,2025-06-18 19:11:56.744351
188,2910,812,2,2025-02-04 20:35:38.503554
189,6642,2750,1,2025-06-14 01:15:19.098179
190,3089,2735,5,2025-09-08 09:38:23.889236
191,3848,1229,3,2025-09-10 23:24:25.557858
192,7686,8121,2,2025-08-12 15:13:07.459662
193,7015,6876,4,2025-08-01 17:12:51.698325
194,4293,1413,2,2025-04-16 00:33:05.429192
195,6042,2136,5,2025-05-03 07:08:23.738819
196,750,7778,5,2025-06-28 20:11:49.757897
197,7343,4597,1,2025-10-01 02:13:44.498366
198,8383,4462,5,2025-07-06 05:29:21.937520
199,6706,652,4,2025-09-17 01:52:17.134858
200,4859,1284,5,2025-02-28 17:56:26.876135
201,3775,9214,2,2025-08-04 06:49:47.920330
202,4397,4042,3,2025-08-12 19:00:37.675220
203,1142,6063,1,2025-10-22 02:18:07.134219
204,3634,6088,2,2025-03-16 22:43:47.544049
205,7976,3732,3,2025-08-08 02:55:02.534270
206,5614,1159,5,2025-09-29 17:40:13.892239
207,6307,3290,3,2025-10-22 11:45:21.231657
208,6228,6154,5,2025-02-21 20:18:44.865412
209,7280,8521,4,2025-10-12 20:41:57.401942
210,7175,4599,2,2025-09-23 15:12:20.340425
211,775,3347,3,2025-10-14 06:06:42.997602
212,2400,8173,5,2025-09-02 03:16:22.837971
213,3069,9343,4,2025-04-07 14:02:24.771922
214,3306,3993,1,2025-09-05 03:19:04.315421
215,3042,455,5,2025-03-19 12:28:20.742421
216,8952,1049,4,2025-08-05 09:52:26.625278
217,1118,3518,2,2025-06-27 00:00:48.143796
218,9591,4650,1,2025-07-04 05:02:50.252885
219,7903,9018,1,2025-05-05 14:06:32.734705
220,6942,7459,4,2025-06-16 22:09:28.005242
221,7956,4653,5,2025-02-25 11:53:10.419512
222,3061,455,2,2025-10-08 17:07:09.711262
223,5485,3860,4,2025-07-03 16:44:01.078624
224,7874,3647,2,2025-04-12 13:49:57.928048
225,5618,6566,1,2025-09-03 07:57:46.326595
226,7375,4828,1,2025-03-06 05:36:57.029115
227,5945,4716,4,2025-03-24 11:47:16.940813
228,7435,716,3,2025-02-23 15:00:44.455958
229,9486,8005,1,2025-07-18 01:22:11.750550
230,8888,5689,5,2025-08-01 07:51:22.613043
231,8253,6839,5,2025-09-13 16:49:57.403760
232,8700,59,1,2025-07-17 06:02:01.122269
233,836,7559,2,2025-10-21 14:12:12.763239
234,7459,3214,5,2025-09-18 01:12:43.509964
235,7513,7597,1,2025-03-22 18:19:02.614202
236,2750,7767,3,2025-07-19 09:24:16.684274
237,4838,4494,2,2025-04-11 16:20:54.392589
238,1786,5268,2,2025-10-23 11:00:27.121084
239,9667,9673,5,2025-08-10 14:11:01.376640
240,9557,9562,5,2025-04-08 14:22:15.471146
241,7730,204,5,2025-02-26 08:40:41.591677
242,1882,955,5,2025-09-21 20:43:49.886725
243,9294,1197,3,2025-01-02 10:57:29.301164
244,3451,5407,3,2025-10-01 02:10:19.740520
245,8625,606,3,2025-06-15 05:20:21.385180
246,3811,7063,5,2025-07-10 07:14:04.194010
247,7431,1626,4,2025-03-26 05:58:59.911328
248,6620,365,4,2025-08-01 19:50:55.312331
249,1308,1170,5,2025-07-04 15:50:48.382863
250,3864,8620,2,2025-07-13 04:25:44.531379
251,7649,655,1,2025-09-28 03:24:55.186543
252,5666,5735,3,2025-10-05 16:48:21.863882
253,5884,6823,1,2025-03-25 10:03:42.436239
254,114,7159,2,2025-03-22 00:18:32.817361
255,3639,327,5,2025-01-28 20:08:07.551207
256,7185,6171,3,2025-02-17 06:23:43.134307
257,3584,5512,3,2025-08-27 19:15:57.461710
258,9507,1439,4,2025-09-11 14:29:21.974764
259,4927,6045,3,2025-06-30 09:40:46.691115
260,2903,6875,2,2025-02-05 23:24:21.084367
261,1656,3658,3,2025-04-07 22:23:20.785790
262,1466,1118,4,2025-03-20 18:38:34.998559
263,6985,4302,5,2025-02-28 02:20:20.951594
264,639,3318,5,2025-04-26 01:52:40.025470
265,6964,7536,4,2025-10-18 15:06:20.032553
266,4335,4338,3,2025-03-26 07:08:02.858774
267,7921,9062,5,2025-04-30 15:56:25.919588
268,2287,33,2,2025-10-06 12:16:18.761348
269,4327,890,5,2025-05-02 21:40:30.633563
270,4149,6689,2,2025-08-28 21:22:25.809722
271,5226,1356,2,2025-06-29 23:30:01.682515
272,5503,2985,4,2025-04-04 02:36:59.269617
273,3489,27,1,2025-04-03 08:41:38.285927
274,2413,4530,5,2025-02-18 06:47:05.104660
275,5818,1068,1,2025-07-01 11:58:41.410038
276,9427,6756,2,2025-01-20 05:47:11.122604
277,4298,9241,4,2025-06-13 06:39:45.934315
278,1671,6803,2,2025-09-29 18:02:16.239346
279,7618,3080,4,2025-08-26 01:33:13.588307
280,2607,6467,5,2025-09-16 22:13:08.905749
281,252,1698,2,2025-01-08 23:43:12.442900
282,856,9381,5,2025-02-08 04:07:47.728845
283,5002,547,5,2025-05-30 21:30:30.792790
284,5869,5543,5,2025-01-25 19:02:28.963964
285,6864,2849,1,2025-01-07 23:45:03.214071
286,2038,3380,5,2025-02-27 12:32:43.488568
287,7626,8818,2,2025-03-06 03:00:16.093829
288,1147,561,4,2025-10-28 05:06:58.124970
289,4716,8592,3,2025-03-02 15:53:20.596748
290,3162,7206,1,2025-10-02 08:58:31.750427
291,4330,4678,3,2025-09-08 18:24:44.178818
292,5352,4519,3,2025-04-16 11:03:15.081161
293,9706,9308,5,2025-03-08 07:46:46.256071
294,5927,1713,5,2025-10-04 11:16:42.371518
295,5865,9318,1,2025-07-27 21:07:35.072179
296,1034,1704,1,2025-03-11 11:50:38.781552
297,4219,1641,2,2025-04-21 19:49:40.984207
298,4338,4120,5,2025-09-29 05:46:51.520969
299,6157,6142,3,2025-04-04 22:28:29.450878
300,2814,8901,5,2025-01-28 08:34:55.869264
301,1884,5848,2,2025-06-11 16:55:48.375618
302,5873,9732,2,2025-10-09 00:39:33.080550
303,8764,8242,3,2025-06-01 16:44:03.074431
304,5316,883,4,2025-03-20 07:43:49.982772
305,4817,4742,5,2025-01-22 23:13:42.202072
306,9636,7852,2,2025-10-06 05:42:08.560226
307,4873,462,1,2025-08-31 12:47:45.698702
308,9356,2218,2,2025-09-05 04:04:18.893153
309,5024,443,3,2025-08-02 09:38:44.101922
310,1983,8096,5,2025-10-16 16:22:11.185446
311,5199,6070,5,2025-09-27 21:41:14.274645
312,3634,7791,3,2025-07-16 12:51:04.550785
313,8588,6395,1,2025-02-05 01:38:54.659362
314,9672,1283,3,2025-09-06 10:32:58.411376
315,7343,5527,3,2025-04-28 01:46:32.753901
316,8142,8197,2,2025-04-09 03:32:02.483116
317,1665,9803,3,2025-06-15 04:53:31.371235
318,1078,2919,4,2025-04-03 07:22:41.756351
319,8545,4028,2,2025-07-09 22:58:36.069163
320,8873,2242,1,2025-08-12 19:24:58.932409
321,5999,6160,5,2025-07-24 04:54:45.520179
322,6594,26,2,2025-07-16 21:57:31.924892
323,8465,9469,2,2025-07-23 03:49:46.918143
324,3289,707,1,2025-03-27 04:08:49.175211
325,3470,1359,3,2025-09-18 02:40:24.194296
326,1755,1828,5,2025-07-22 16:24:24.172577
327,6017,954,3,2025-08-12 02:08:46.645267
328,4870,5211,2,2025-02-22 02:43:14.338623
329,6242,9455,4,2025-05-07 21:09:51.211519
330,4413,2217,2,2025-04-09 20:33:38.274157
331,9566,8998,5,2025-03-15 18:52:33.410203
332,7065,4187,3,2025-09-17 08:10:10.970775
333,2200,6039,3,2025-07-03 15:35:36.814463
334,1317,6058,3,2025-08-09 06:14:16.668567
335,8595,9842,5,2025-08-12 20:17:43.154751
336,8630,2385,4,2025-06-08 05:42:47.127310
337,5922,7110,2,2025-08-22 08:11:20.698201
338,8699,2758,5,2025-09-23 11:40:32.474597
339,5988,6025,5,2025-03-16 13:54:03.123196
340,2919,3087,5,2025-03-24 18:20:48.528612
341,8755,5224,4,2025-02-09 18:36:40.927048
342,2044,1614,2,2025-08-20 19:16:38.886114
343,2961,2300,5,2025-08-08 20:18:18.465643
344,1162,3885,1,2025-09-25 16:34:03.345887
345,7610,282,3,2025-09-16 06:33:35.440833
346,4322,1818,1,2025-06-25 01:48:35.717314
347,914,6006,2,2025-08-05 07:35:43.532071
348,7089,5087,2,2025-10-10 14:48:10.502587
349,8510,1672,2,2025-06-30 01:39:08.581782
350,7488,7611,3,2025-09-21 12:14:12.488205
351,8480,9475,1,2025-07-22 23:13:18.540911
352,1725,4341,2,2025-01-17 14:28:04.921914
353,65,8171,3,2025-09-02 10:29:14.936425
354,3423,4511,3,2025-08-22 12:10:33.126062
355,1908,375,5,2025-09-16 05:56:52.378006
356,6918,1083,3,2025-08-10 03:54:29.244882
357,8695,8084,4,2025-09-15 05:32:00.160228
358,2386,3274,3,2025-01-09 17:39:21.265663
359,4266,6400,1,2025-06-27 01:46:14.407273
360,3712,7245,4,2025-06-02 11:45:50.257249
361,9747,9925,4,2025-09-24 03:02:29.317631
362,4508,6331,2,2025-07-23 21:57:06.462205
363,9262,6213,3,2025-08-10 05:11:30.645185
364,1251,1165,4,2025-06-13 18:19:57.658763
365,6550,7121,3,2025-10-24 10:50:40.996909
366,7176,1170,2,2025-10-20 07:26:35.142626
367,106,8983,3,2025-07-23 07:00:38.246016
368,7989,9102,4,2025-06-10 04:30:37.565100
369,1015,8825,1,2025-04-27 18:39:15.777747
370,4256,234,1,2025-06-03 01:10:52.392865
371,6348,5301,2,2025-01-28 16:09:09.618573
372,8457,3251,3,2025-05-29 16:15:45.378480
373,2320,4949,5,2025-07-13 09:21:53.919543
374,7221,1692,1,2025-04-15 22:05:27.103726
375,7357,5950,3,2025-07-07 23:07:10.334378
376,4037,2151,5,2025-04-17 16:48:13.849510
377,8295,2361,4,2025-06-09 13:56:44.169417
378,3118,4226,3,2025-06-08 06:25:04.333498
379,6268,1845,3,2025-10-21 02:07:12.135165
380,8236,1861,3,2025-01-26 18:30:17.419989
381,8377,3773,2,2025-05-02 13:26:41.685953
382,3673,9957,3,2025-01-30 11:42:37.233834
383,8832,6343,5,2025-08-22 18:52:28.094813
384,2541,1753,2,2025-08-04 09:27:05.981010
385,7661,4714,2,2025-04-09 14:30:29.375738
386,4685,1581,1,2025-09-23 15:15:46.604561
387,7509,9652,5,2025-09-04 05:17:35.834510
388,9936,9945,4,2025-09-18 00:51:11.398278
389,2840,4538,5,2025-04-13 16:05:01.194669
390,2681,7200,1,2025-10-08 07:09:22.130334
391,3594,5069,2,2025-08-06 05:07:44.810088
392,6009,9335,2,2025-03-03 06:52:37.243352
393,4907,5160,2,2025-09-11 09:26:11.967552
394,2294,104,5,2025-03-25 01:30:13.762263
395,4612,4248,1,2025-08-03 06:06:08.098100
396,574,5600,5,2025-06-09 08:25:48.527254
397,2267,2373,5,2025-05-11 18:06:54.986621
398,3941,7323,5,2025-03-13 07:12:05.394959
399,1937,864,3,2025-04-04 18:35:20.090341
400,4381,6201,2,2025-10-30 15:18:01.019585
401,1905,9325,2,2025-07-23 18:59:42.282633
402,6614,1836,5,2025-07-17 22:11:32.953701
403,3141,7019,1,2025-06-02 18:36:44.356654
404,2419,4611,1,2025-02-19 20:16:16.971624
405,7127,6083,1,2025-02-26 00:24:32.653855
406,5901,8233,5,2025-06-18 23:33:10.876445
407,476,6388,2,2025-08-01 08:54:15.280363
408,7261,6216,3,2025-07-06 10:26:50.545798
409,5144,7759,2,2025-05-01 12:45:45.572306
410,225,7797,1,2025-09-26 19:57:54.151865
411,2049,6749,4,2025-03-31 16:31:36.816603
412,70,7460,3,2025-05-22 02:08:51.879094
413,6066,4199,2,2025-10-18 03:16:00.400546
414,6738,3895,1,2025-08-30 05:29:12.349215
415,7435,370,4,2025-03-04 18:52:12.065005
416,8024,8370,5,2025-03-06 18:49:51.113924
417,8105,9426,4,2025-07-13 14:21:51.337695
418,6672,1920,5,2025-08-30 06:32:38.288710
419,9997,7971,3,2025-09-15 03:04:31.532382
420,4175,4677,3,2025-01-22 20:25:10.076050
421,6095,8301,5,2025-06-02 00:49:43.877524
422,2776,1381,5,2025-03-06 18:31:39.409374
423,7088,9730,2,2025-01-26 18:22:57.072013
424,1768,5180,5,2025-09-26 16:43:38.662939
425,5323,2326,5,2025-07-26 20:25:51.712090
426,466,1658,2,2025-02-15 22:38:58.637005
427,1701,9574,3,2025-01-21 00:30:36.717700
428,5988,8270,1,2025-02-28 11:29:26.848239
429,5713,6329,4,2025-01-29 15:37:23.115297
430,161,7793,2,2025-01-20 01:17:11.590371
431,3225,7703,5,2025-02-17 05:49:24.913293
432,4855,5263,5,2025-10-07 18:47:59.729368
433,2437,3719,5,2025-02-17 09:55:42.942889
434,2766,3927,4,2025-01-19 10:11:55.919176
435,5077,1157,2,2025-07-28 12:18:03.967137
436,6866,1482,1,2025-10-02 02:15:51.036042
437,2938,2558,4,2025-08-05 14:46:13.062660
438,2798,2776,2,2025-03-04 17:13:04.672992
439,5553,5067,1,2025-09-12 13:23:42.602561
440,4364,2644,1,2025-08-25 21:43:09.155693
441,5667,9825,2,2025-10-08 19:54:03.808887
442,9173,196,5,2025-10-20 12:36:43.719152
443,2814,3015,5,2025-10-25 08:45:15.747011
444,9057,4797,4,2025-04-27 09:23:07.239693
445,4083,4423,1,2025-05-25 05:52:31.939549
446,3890,8531,4,2025-04-20 19:10:14.887354
447,6026,8378,2,2025-08-29 11:13:26.486084
448,483,3896,2,2025-01-15 08:30:34.164707
449,1457,9937,5,2025-05-23 22:35:03.306088
450,5992,7024,1,2025-03-25 01:06:45.478058
451,981,4150,5,2025-07-22 21:19:11.174604
452,7421,7280,2,2025-07-13 12:46:19.007653
453,2913,8649,3,2025-01-31 15:21:38.408395
454,4720,6370,5,2025-03-03 07:48:56.526998
455,5399,4131,4,2025-01-30 09:56:20.893312
456,5776,433,3,2025-08-10 17:09:58.717416
457,3969,8179,4,2025-03-14 06:00:41.535581
458,1673,1658,2,2025-10-24 08:32:26.762892
459,139,6769,5,2025-07-25 13:06:48.460867
460,1640,3131,1,2025-01-28 22:34:02.009499
461,7036,5196,1,2025-08-15 05:11:45.227082
462,9614,4658,3,2025-06-28 02:27:19.115434
463,9543,3270,2,2025-06-19 00:04:50.991499
464,8347,6490,3,2025-09-13 18:35:45.663056
465,4956,6629,5,2025-07-15 17:41:01.197998
466,8790,2625,1,2025-06-11 11:20:07.754176
467,8349,2450,2,2025-08-23 02:54:55.906461
468,2311,394,3,2025-07-17 20:51:03.294780
469,3071,5188,2,2025-02-25 10:27:04.734642
470,5606,6137,1,2025-06-18 10:42:44.778804
471,5793,446,3,2025-05-08 23:38:19.883191
472,1405,6975,1,2025-09-05 23:43:58.517175
473,7281,2984,3,2025-03-23 03:18:10.610887
474,5210,333,4,2025-07-30 20:19:03.922054
475,6327,5901,3,2025-01-26 23:41:14.408305
476,3649,6546,1,2025-02-19 02:51:32.319726
477,8424,8325,4,2025-07-28 05:44:08.294935
478,8329,9686,3,2025-04-24 19:00:46.442204
479,3421,3638,1,2025-05-06 00:12:58.145876
480,6764,2755,2,2025-07-23 08:29:07.562049
481,695,3121,4,2025-04-22 08:58:42.833869
482,921,2469,5,2025-09-15 20:11:43.630884
483,1504,8453,2,2025-01-10 07:52:50.388118
484,4650,9612,2,2025-08-21 06:53:47.323711
485,9989,8622,2,2025-07-26 18:30:32.879753
486,7809,1050,1,2025-03-28 03:43:49.784789
487,7818,5518,2,2025-09-03 23:27:01.755211
488,8685,1310,5,2025-09-03 15:55:55.752758
489,2169,9829,2,2025-01-13 15:26:39.220386
490,8195,9582,1,2025-04-12 02:05:19.418878
491,2060,8314,2,2025-01-02 07:14:17.569843
492,4265,2912,4,2025-09-25 10:32:03.018346
493,2270,1874,2,2025-08-30 11:36:11.483954
494,4394,2572,4,2025-10-27 18:39:37.843501
495,5532,7392,3,2025-02-20 11:40:52.956065
496,4076,7296,3,2025-03-29 22:06:37.544795
497,8383,632,2,2025-01-18 22:10:32.612117
498,7758,8525,1,2025-08-21 03:59:49.952900
499,2120,917,4,2025-09-06 05:08:13.906574
500,3834,9058,5,2025-10-14 08:11:35.168662
501,4397,14,3,2025-07-07 21:20:12.395313
502,5793,8050,3,2025-07-09 05:26:03.507128
503,8170,6715,5,2025-08-05 02:38:16.497077
504,4884,5291,4,2025-08-10 10:30:33.876937
505,4354,9015,1,2025-06-27 11:15:46.027784
506,8546,6214,5,2025-05-07 02:39:06.661862
507,3226,6659,1,2025-01-03 04:12:21.391750
508,6766,7948,1,2025-09-19 02:40:52.839402
509,3915,8621,5,2025-02-03 12:54:04.891302
510,651,1964,4,2025-09-27 23:05:13.071983
511,3049,1300,3,2025-04-22 03:54:36.599374
512,6590,3769,2,2025-02-12 02:29:32.470328
513,8884,25,5,2025-01-04 18:03:23.057731
514,3095,6807,4,2025-10-05 18:03:43.473136
515,6482,8907,4,2025-05-24 07:06:42.770037
516,2857,5741,5,2025-09-03 23:45:58.360383
517,581,8805,3,2025-03-31 02:33:41.807024
518,8362,2305,2,2025-06-23 05:54:42.588451
519,6872,2815,5,2025-09-29 16:32:43.931076
520,5893,9054,4,2025-02-15 13:02:10.406299
521,9691,2309,5,2025-06-02 08:02:30.618854
522,7131,2433,1,2025-01-30 07:46:14.493181
523,9889,3834,3,2025-03-15 02:26:37.760968
524,649,5485,4,2025-06-15 12:32:15.752363
525,5366,3543,5,2025-09-22 16:42:41.110156
526,2807,7598,5,2025-06-05 05:07:27.410912
527,1143,5633,4,2025-02-06 19:06:52.192828
528,3409,6385,5,2025-06-19 10:07:44.104722
529,5554,5853,2,2025-10-09 06:22:45.519279
530,9729,6731,1,2025-08-24 22:22:17.946857
531,6153,1475,1,2025-02-11 06:20:46.006941
532,6153,3024,5,2025-06-15 05:04:36.073858
533,7185,7266,3,2025-08-13 05:21:28.037896
534,8744,5839,5,2025-08-10 15:27:20.826165
535,6593,9049,4,2025-01-18 23:47:03.084904
536,7081,8767,2,2025-01-09 20:25:37.485626
537,4000,9575,4,2025-06-20 14:29:45.651795
538,1238,1137,5,2025-04-03 22:29:23.317218
539,1804,8281,3,2025-04-07 19:16:43.235084
540,9070,8455,1,2025-06-30 03:08:57.499829
